Employee Number,Attrition,AgeBand,Age,Department,Education,Education Field,Gender,JobRole,MaritalStatus,BusinessTravel,OverTime,TrainingTimesLastYear,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
470,No,35 - 44,42,HR,High School,Technical Degree,Male,Human Resources,Divorced,Travel_Rarely,Yes,5,544,2,3,52,3,1,3,2696,24017,0,11,3,3,1,4,3,3,2,1,0
471,No,25 - 34,32,R&D,Bachelor's Degree,Medical,Female,Laboratory Technician,Married,Travel_Rarely,No,4,1062,2,3,75,3,1,2,2370,3956,1,13,3,3,1,8,3,8,0,0,7
473,No,45 - 54,48,Sales,High School,Medical,Female,Manager,Married,Travel_Rarely,No,3,530,29,1,91,3,3,3,12504,23978,3,21,4,2,1,15,1,0,0,0,0
474,No,35 - 44,37,R&D,Bachelor's Degree,Medical,Male,Research Scientist,Divorced,Travel_Rarely,Yes,2,1319,6,3,51,4,2,1,5974,17001,4,13,3,1,2,13,3,7,7,6,7
475,No,25 - 34,30,Sales,Associates Degree,Technical Degree,Female,Sales Executive,Married,Non-Travel,Yes,2,641,25,4,85,3,2,3,4736,6069,7,12,3,2,1,4,4,2,2,2,2
476,No,25 - 34,26,Sales,Bachelor's Degree,Life Sciences,Male,Sales Executive,Married,Travel_Rarely,No,3,933,1,3,57,3,2,3,5296,20156,1,17,3,2,1,8,3,8,7,7,7
477,No,35 - 44,42,R&D,Master's Degree,Other,Male,Healthcare Representative,Single,Travel_Rarely,No,6,1332,2,1,98,2,2,4,6781,17078,3,23,4,2,0,14,3,1,0,0,0
478,Yes,Under 25,21,Sales,High School,Technical Degree,Female,Sales Representative,Single,Travel_Frequently,Yes,3,756,1,1,99,2,1,2,2174,9150,1,11,3,3,0,3,3,3,2,1,2
479,No,35 - 44,36,Sales,Doctoral Degree,Medical,Female,Sales Executive,Single,Non-Travel,No,6,845,1,4,45,3,2,4,6653,15276,4,15,3,2,0,7,3,1,0,0,0
481,No,35 - 44,36,Sales,Master's Degree,Medical,Male,Sales Executive,Married,Travel_Frequently,No,2,541,3,1,48,2,3,4,9699,7246,4,11,3,1,1,16,3,13,9,1,12
482,No,Over 55,57,R&D,Master's Degree,Medical,Male,Healthcare Representative,Married,Travel_Rarely,No,2,593,1,4,88,3,2,3,6755,2967,2,11,3,3,0,15,3,3,2,1,2
483,No,35 - 44,40,R&D,Master's Degree,Life Sciences,Female,Laboratory Technician,Married,Travel_Rarely,Yes,3,1171,10,4,46,4,1,3,2213,22495,3,13,3,3,1,10,3,7,7,1,7
484,No,Under 25,21,Sales,Associates Degree,Medical,Male,Sales Representative,Single,Non-Travel,No,3,895,9,1,39,3,1,4,2610,2851,1,24,4,3,0,3,2,3,2,2,2
485,Yes,25 - 34,33,Sales,Bachelor's Degree,Marketing,Female,Sales Representative,Single,Travel_Rarely,Yes,2,350,5,4,34,3,1,3,2851,9150,1,13,3,2,0,1,3,1,0,0,0
486,No,35 - 44,37,R&D,Bachelor's Degree,Medical,Female,Laboratory Technician,Married,Travel_Rarely,No,3,921,10,3,98,3,1,1,3452,17663,6,20,4,2,1,17,3,5,4,0,3
487,No,45 - 54,46,R&D,Master's Degree,Medical,Female,Manufacturing Director,Married,Non-Travel,No,2,1144,7,3,30,3,2,3,5258,16044,2,14,3,3,0,7,4,1,0,0,0
488,Yes,35 - 44,41,Sales,Bachelor's Degree,Marketing,Male,Sales Executive,Single,Travel_Frequently,No,5,143,4,1,56,3,2,2,9355,9558,1,18,3,3,0,8,3,8,7,7,7
491,No,45 - 54,50,R&D,Bachelor's Degree,Technical Degree,Male,Healthcare Representative,Single,Travel_Rarely,No,2,1046,10,4,100,2,3,4,10496,2755,6,15,3,4,0,20,3,4,3,1,3
492,Yes,35 - 44,40,Sales,Associates Degree,Marketing,Male,Sales Executive,Married,Travel_Rarely,Yes,6,575,22,3,68,2,2,3,6380,6110,2,12,3,1,2,8,3,6,4,1,0
493,No,25 - 34,31,R&D,Master's Degree,Life Sciences,Male,Research Scientist,Single,Travel_Rarely,Yes,5,408,9,3,42,2,1,2,2657,7551,0,16,3,4,0,3,3,2,2,2,2
494,Yes,Under 25,21,Sales,Bachelor's Degree,Life Sciences,Female,Sales Representative,Single,Travel_Rarely,No,0,156,12,3,90,4,1,2,2716,25422,1,15,3,4,0,1,3,1,0,0,0
495,No,25 - 34,29,R&D,Bachelor's Degree,Life Sciences,Male,Research Scientist,Single,Travel_Rarely,No,4,1283,23,4,54,3,1,4,2201,18168,9,16,3,4,0,6,3,3,2,1,2
496,No,35 - 44,35,R&D,Master's Degree,Life Sciences,Male,Healthcare Representative,Single,Travel_Rarely,No,5,755,9,3,97,2,2,2,6540,19394,9,19,3,3,0,10,3,1,1,0,0
497,No,25 - 34,27,R&D,Associates Degree,Medical,Male,Laboratory Technician,Divorced,Travel_Rarely,No,2,1469,1,4,82,3,1,2,3816,17881,1,11,3,2,1,5,3,5,2,0,4
498,No,25 - 34,28,Sales,Master's Degree,Life Sciences,Male,Sales Executive,Single,Travel_Rarely,No,1,304,9,2,92,3,2,4,5253,20750,1,16,3,4,0,7,3,7,5,0,7
499,No,45 - 54,49,R&D,Bachelor's Degree,Other,Male,Healthcare Representative,Single,Travel_Rarely,No,2,1261,7,2,31,2,3,3,10965,12066,8,24,4,3,0,26,3,5,2,0,0
500,No,45 - 54,51,Sales,Associates Degree,Life Sciences,Female,Sales Executive,Married,Travel_Rarely,No,2,1178,14,3,87,3,2,4,4936,14862,4,11,3,3,1,18,2,7,7,0,7
501,No,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Female,Research Scientist,Married,Travel_Rarely,No,3,329,2,4,96,3,1,3,2543,11868,4,13,3,2,1,6,3,2,2,2,2
502,Yes,25 - 34,34,Sales,Bachelor's Degree,Marketing,Male,Sales Executive,Single,Non-Travel,Yes,3,1362,19,1,67,4,2,4,5304,4652,8,13,3,2,0,9,2,5,2,0,4
505,No,Over 55,55,R&D,Bachelor's Degree,Life Sciences,Female,Manager,Single,Travel_Rarely,Yes,2,1311,2,3,97,3,4,4,16659,23258,2,13,3,3,0,30,3,5,4,1,2
507,No,Under 25,24,Sales,Master's Degree,Marketing,Female,Sales Executive,Divorced,Travel_Rarely,Yes,2,1371,10,4,77,3,2,3,4260,5915,1,12,3,4,1,5,4,5,2,0,3
508,No,25 - 34,30,Sales,High School,Technical Degree,Male,Sales Representative,Married,Travel_Rarely,No,3,202,2,3,72,3,1,2,2476,17434,1,18,3,1,1,1,3,1,0,0,0
510,Yes,25 - 34,26,R&D,High School,Technical Degree,Male,Research Scientist,Single,Travel_Frequently,No,2,575,3,3,73,3,1,1,3102,6582,0,22,4,3,0,7,3,6,4,0,4
511,No,Under 25,22,R&D,Bachelor's Degree,Medical,Female,Research Scientist,Married,Travel_Rarely,No,1,253,11,1,43,3,1,2,2244,24440,1,13,3,4,1,2,3,2,1,1,2
513,No,35 - 44,36,Sales,Associates Degree,Medical,Male,Sales Executive,Married,Travel_Rarely,No,2,164,2,2,61,2,3,3,7596,3809,1,13,3,2,2,10,3,10,9,9,0
514,Yes,25 - 34,30,R&D,Bachelor's Degree,Technical Degree,Male,Research Scientist,Single,Travel_Frequently,Yes,4,464,4,3,40,3,1,4,2285,3427,9,23,4,3,0,3,3,1,0,0,0
515,No,35 - 44,37,R&D,Bachelor's Degree,Life Sciences,Female,Laboratory Technician,Divorced,Travel_Rarely,No,2,1107,14,4,95,3,1,1,3034,26914,1,12,3,3,1,18,2,18,7,12,17
516,No,35 - 44,40,Sales,Associates Degree,Marketing,Female,Sales Executive,Divorced,Travel_Rarely,No,5,759,2,4,46,3,2,2,5715,22553,7,12,3,3,2,8,3,5,4,1,3
517,No,35 - 44,42,R&D,Master's Degree,Life Sciences,Female,Laboratory Technician,Divorced,Travel_Rarely,No,5,201,1,2,95,3,1,1,2576,20490,3,16,3,2,1,8,3,5,2,1,2
518,No,35 - 44,37,R&D,Master's Degree,Life Sciences,Male,Manufacturing Director,Single,Travel_Rarely,Yes,2,1305,10,3,49,3,2,2,4197,21123,2,12,3,4,0,18,2,1,0,0,1
520,No,35 - 44,43,R&D,Bachelor's Degree,Life Sciences,Male,Research Director,Divorced,Travel_Rarely,No,3,982,12,1,59,2,4,2,14336,4345,1,11,3,3,1,25,3,25,10,3,9
521,No,35 - 44,40,R&D,Bachelor's Degree,Medical,Female,Laboratory Technician,Married,Travel_Rarely,No,3,555,2,2,78,2,2,3,3448,13436,6,22,4,2,1,20,3,1,0,0,0
522,No,45 - 54,54,R&D,Associates Degree,Medical,Male,Research Director,Married,Travel_Rarely,No,4,821,5,1,86,3,5,1,19406,8509,4,11,3,3,1,24,2,4,2,1,2
523,No,25 - 34,34,Sales,Master's Degree,Marketing,Female,Sales Executive,Married,Non-Travel,No,3,1381,4,3,72,3,2,3,6538,12740,9,15,3,1,1,6,3,3,2,1,2
524,No,25 - 34,31,R&D,Associates Degree,Medical,Female,Manufacturing Director,Married,Travel_Rarely,No,5,480,7,2,31,3,2,1,4306,4156,1,12,3,2,1,13,1,13,10,3,12
525,No,35 - 44,43,R&D,Bachelor's Degree,Medical,Male,Laboratory Technician,Married,Travel_Frequently,No,1,313,21,4,61,3,1,4,2258,15238,7,20,4,1,1,8,3,3,2,1,2
526,No,35 - 44,43,R&D,Master's Degree,Other,Female,Healthcare Representative,Divorced,Travel_Rarely,Yes,3,1473,8,3,74,3,2,3,4522,2227,4,14,3,4,0,8,3,5,2,0,2
527,No,25 - 34,25,Sales,Associates Degree,Life Sciences,Female,Sales Executive,Single,Travel_Rarely,Yes,3,891,4,2,99,2,2,4,4487,12090,1,11,3,2,0,5,3,5,4,1,3
529,No,35 - 44,37,R&D,Doctoral Degree,Medical,Female,Research Scientist,Married,Non-Travel,Yes,2,1063,25,2,72,3,2,3,4449,23866,3,15,3,1,2,15,3,13,11,10,7
530,No,25 - 34,31,R&D,Associates Degree,Life Sciences,Male,Laboratory Technician,Married,Travel_Rarely,No,3,329,1,4,98,2,1,1,2218,16193,1,12,3,3,1,4,3,4,2,3,2
531,No,35 - 44,39,R&D,High School,Life Sciences,Male,Manager,Divorced,Travel_Frequently,Yes,3,1218,1,2,52,3,5,3,19197,8213,1,14,3,3,1,21,3,21,8,1,6
532,No,Over 55,56,Sales,Bachelor's Degree,Life Sciences,Female,Sales Executive,Married,Travel_Frequently,No,0,906,6,3,86,4,4,1,13212,18256,9,11,3,4,3,36,2,7,7,7,7
533,No,25 - 34,30,Sales,Bachelor's Degree,Technical Degree,Female,Sales Executive,Single,Travel_Rarely,No,6,1082,12,2,83,3,2,3,6577,19558,0,11,3,2,0,6,3,5,4,4,4
534,No,35 - 44,41,Sales,Bachelor's Degree,Marketing,Male,Sales Executive,Married,Travel_Rarely,No,2,645,1,2,49,4,3,1,8392,19566,1,16,3,3,1,10,3,10,7,0,7
536,No,25 - 34,28,R&D,Associates Degree,Medical,Male,Laboratory Technician,Divorced,Travel_Rarely,No,2,1300,17,3,79,3,2,1,4558,13535,1,12,3,4,1,10,3,10,0,1,8
538,Yes,25 - 34,25,R&D,Bachelor's Degree,Medical,Male,Laboratory Technician,Married,Travel_Rarely,No,5,688,3,1,91,3,1,1,4031,9396,5,13,3,3,1,6,3,2,2,0,2
543,No,45 - 54,52,R&D,Bachelor's Degree,Medical,Male,Manufacturing Director,Married,Travel_Rarely,Yes,4,319,3,4,39,2,3,3,7969,19609,2,14,3,3,0,28,3,5,4,0,4
544,No,45 - 54,45,R&D,Associates Degree,Life Sciences,Male,Research Scientist,Married,Travel_Rarely,No,3,192,10,1,69,3,1,4,2654,9655,3,21,4,4,2,8,2,2,2,0,2
546,No,45 - 54,52,R&D,Associates Degree,Life Sciences,Female,Manager,Married,Travel_Rarely,No,2,1490,4,4,30,3,4,4,16555,10310,2,13,3,4,0,31,1,5,2,1,4
547,No,35 - 44,42,R&D,Associates Degree,Life Sciences,Female,Research Scientist,Divorced,Travel_Frequently,No,3,532,29,1,92,3,2,3,4556,12932,2,11,3,2,1,19,3,5,4,0,2
548,No,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Female,Manufacturing Director,Single,Travel_Rarely,No,2,317,2,3,43,1,2,4,6091,24793,2,20,4,3,0,11,3,5,4,0,2
549,No,Over 55,60,R&D,Bachelor's Degree,Life Sciences,Female,Manager,Married,Travel_Rarely,No,5,422,7,1,41,3,5,1,19566,3854,5,11,3,4,0,33,1,29,8,11,10
550,No,45 - 54,46,R&D,Bachelor's Degree,Medical,Female,Manufacturing Director,Divorced,Travel_Rarely,No,5,1485,18,3,87,3,2,3,4810,26314,2,14,3,3,1,19,2,10,7,0,8
551,No,35 - 44,42,R&D,Master's Degree,Technical Degree,Female,Healthcare Representative,Married,Travel_Frequently,No,4,1368,28,4,88,2,2,4,4523,4386,0,11,3,4,3,7,4,6,5,0,4
554,Yes,Under 25,24,Sales,High School,Technical Degree,Female,Sales Representative,Single,Travel_Rarely,Yes,4,1448,1,1,62,3,1,2,3202,21972,1,16,3,2,0,6,3,5,3,1,4
555,Yes,25 - 34,34,Sales,Associates Degree,Marketing,Female,Sales Representative,Divorced,Travel_Frequently,No,3,296,6,4,33,1,1,3,2351,12253,0,16,3,4,1,3,2,2,2,1,0
556,No,35 - 44,38,R&D,Associates Degree,Life Sciences,Male,Laboratory Technician,Married,Travel_Frequently,Yes,3,1490,2,4,42,3,1,4,1702,12106,1,23,4,3,1,1,3,1,0,0,0
558,No,35 - 44,40,Sales,Master's Degree,Life Sciences,Female,Manager,Married,Travel_Rarely,No,2,1398,2,3,79,3,5,3,18041,13022,0,14,3,4,0,21,3,20,15,1,12
560,No,25 - 34,26,R&D,Bachelor's Degree,Life Sciences,Female,Research Scientist,Divorced,Travel_Rarely,No,3,1349,23,1,90,3,1,4,2886,3032,1,22,4,2,2,3,1,3,2,0,2
562,No,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Married,Non-Travel,No,3,1400,3,3,53,3,1,4,2097,16734,4,15,3,3,1,9,1,5,3,1,4
564,No,25 - 34,29,R&D,Master's Degree,Medical,Male,Research Director,Married,Travel_Rarely,No,2,986,3,2,93,2,3,3,11935,21526,1,18,3,3,0,10,3,10,2,0,7
565,Yes,25 - 34,29,R&D,Doctoral Degree,Technical Degree,Female,Research Scientist,Married,Travel_Rarely,No,2,408,25,3,71,2,1,2,2546,18300,5,16,3,2,0,6,4,2,2,1,1
566,Yes,Under 25,19,HR,Associates Degree,Technical Degree,Male,Human Resources,Single,Travel_Rarely,No,3,489,2,1,52,2,1,4,2564,18437,1,12,3,3,0,1,4,1,0,0,0
567,No,25 - 34,30,Sales,Master's Degree,Other,Female,Sales Executive,Married,Non-Travel,No,3,1398,22,3,69,3,3,1,8412,2890,0,11,3,3,0,10,3,9,8,7,8
568,No,Over 55,57,Sales,Bachelor's Degree,Marketing,Male,Manager,Divorced,Travel_Rarely,No,3,210,29,1,56,2,4,4,14118,22102,3,12,3,3,1,32,2,1,0,0,0
569,No,45 - 54,50,R&D,Master's Degree,Life Sciences,Male,Manager,Married,Travel_Rarely,No,2,1099,29,2,88,2,4,3,17046,9314,0,15,3,2,1,28,3,27,10,15,7
571,No,25 - 34,30,R&D,Bachelor's Degree,Medical,Female,Laboratory Technician,Single,Non-Travel,No,2,1116,2,3,49,3,1,4,2564,7181,0,14,3,3,0,12,2,11,7,6,7
573,No,Over 55,60,Sales,Bachelor's Degree,Marketing,Female,Sales Executive,Married,Travel_Frequently,No,5,1499,28,3,80,2,3,1,10266,2845,4,19,3,4,0,22,4,18,13,13,11
574,No,45 - 54,47,R&D,Associates Degree,Medical,Female,Manufacturing Director,Divorced,Travel_Rarely,No,2,983,2,1,65,3,2,4,5070,7389,5,13,3,3,3,20,3,5,0,0,4
575,No,45 - 54,46,R&D,Bachelor's Degree,Life Sciences,Male,Research Director,Married,Travel_Rarely,No,2,1009,2,1,51,3,4,3,17861,2288,6,13,3,3,0,26,1,3,2,0,1
577,No,35 - 44,35,R&D,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,Travel_Rarely,No,2,144,22,4,46,1,1,3,4230,19225,0,15,3,3,0,6,3,5,4,4,3
578,No,45 - 54,54,R&D,Master's Degree,Life Sciences,Female,Laboratory Technician,Single,Travel_Rarely,No,3,548,8,3,42,3,2,3,3780,23428,7,11,3,3,0,19,3,1,0,0,0
579,No,25 - 34,34,R&D,Master's Degree,Life Sciences,Male,Research Scientist,Divorced,Travel_Rarely,No,3,1303,2,4,62,2,1,3,2768,8416,3,12,3,3,1,14,3,7,3,5,7
580,No,45 - 54,46,Sales,Bachelor's Degree,Marketing,Female,Sales Executive,Married,Travel_Rarely,Yes,3,1125,10,3,94,2,3,4,9071,11563,2,19,3,3,1,15,3,3,2,1,2
581,No,25 - 34,31,R&D,High School,Life Sciences,Male,Manufacturing Director,Divorced,Travel_Rarely,No,6,1274,9,3,33,3,3,2,10648,14394,1,25,4,4,1,13,4,13,8,0,8
582,Yes,25 - 34,33,R&D,High School,Medical,Male,Manager,Married,Travel_Rarely,Yes,2,1277,15,2,56,3,3,3,13610,24619,7,12,3,4,0,15,4,7,6,7,7
584,Yes,25 - 34,33,R&D,High School,Medical,Male,Laboratory Technician,Divorced,Travel_Rarely,No,2,587,10,1,38,1,1,4,3408,6705,7,13,3,1,3,8,3,4,3,1,3
585,No,25 - 34,30,Sales,High School,Marketing,Male,Sales Representative,Single,Travel_Rarely,No,3,413,7,4,57,3,1,2,2983,18398,0,14,3,1,0,4,3,3,2,1,2
586,No,35 - 44,35,R&D,Bachelor's Degree,Life Sciences,Male,Healthcare Representative,Married,Travel_Rarely,Yes,2,1276,16,4,72,3,3,3,7632,14295,4,12,3,3,0,10,3,8,7,0,0
587,Yes,25 - 34,31,R&D,Bachelor's Degree,Life Sciences,Male,Healthcare Representative,Married,Travel_Frequently,No,2,534,20,1,66,3,3,3,9824,22908,3,12,3,1,0,12,3,1,0,0,0
590,Yes,25 - 34,34,HR,Bachelor's Degree,Human Resources,Female,Human Resources,Divorced,Travel_Frequently,Yes,2,988,23,2,43,3,3,1,9950,11533,9,15,3,3,3,11,3,3,2,0,2
591,No,35 - 44,42,R&D,Associates Degree,Other,Male,Laboratory Technician,Married,Travel_Frequently,No,4,1474,5,2,97,3,1,3,2093,9260,4,17,3,4,1,8,3,2,2,2,0
592,No,35 - 44,36,Sales,Master's Degree,Medical,Male,Sales Executive,Single,Non-Travel,No,3,635,10,2,32,3,3,4,9980,15318,1,14,3,4,0,10,2,10,3,9,7
593,Yes,Under 25,22,R&D,High School,Technical Degree,Male,Laboratory Technician,Single,Travel_Frequently,No,3,1368,4,3,99,2,1,3,3894,9129,5,16,3,3,0,4,3,2,2,1,2
595,No,45 - 54,48,Sales,Doctoral Degree,Marketing,Female,Sales Executive,Married,Travel_Rarely,No,2,163,2,2,37,3,2,4,4051,19658,2,14,3,1,1,14,3,9,7,6,7
597,No,Over 55,55,Sales,Doctoral Degree,Life Sciences,Female,Manager,Single,Travel_Rarely,No,2,1117,18,1,83,3,4,2,16835,9873,3,23,4,4,0,37,3,10,9,7,7
599,No,35 - 44,41,Sales,Associates Degree,Life Sciences,Male,Sales Executive,Single,Non-Travel,No,3,267,10,4,56,3,2,4,6230,13430,7,14,3,4,0,16,3,14,3,1,10
600,No,35 - 44,35,Sales,Bachelor's Degree,Marketing,Male,Sales Executive,Married,Travel_Rarely,No,2,619,1,2,85,3,2,3,4717,18659,9,11,3,3,0,15,3,11,9,6,9
601,No,35 - 44,40,R&D,Bachelor's Degree,Life Sciences,Female,Manufacturing Director,Single,Travel_Rarely,No,3,302,6,2,75,3,4,3,13237,20364,7,15,3,3,0,22,3,20,6,5,13
602,No,35 - 44,39,R&D,High School,Life Sciences,Female,Laboratory Technician,Married,Travel_Frequently,No,3,443,8,3,48,3,1,3,3755,17872,1,11,3,1,1,8,3,8,3,0,7
604,No,25 - 34,31,Sales,High School,Life Sciences,Male,Sales Executive,Single,Travel_Rarely,Yes,2,828,2,2,77,3,2,4,6582,8346,4,13,3,3,0,10,4,6,5,0,5
605,No,35 - 44,42,R&D,Bachelor's Degree,Medical,Male,Manufacturing Director,Married,Travel_Rarely,Yes,5,319,24,4,56,3,3,1,7406,6950,1,21,4,4,1,10,2,10,9,5,8
606,No,45 - 54,45,Sales,Bachelor's Degree,Other,Male,Sales Executive,Married,Travel_Rarely,No,3,561,2,4,61,3,2,2,4805,16177,0,19,3,2,1,9,4,8,7,3,7
608,Yes,25 - 34,26,HR,Master's Degree,Life Sciences,Female,Human Resources,Divorced,Travel_Frequently,Yes,2,426,17,2,58,3,1,3,2741,22808,0,11,3,2,1,8,2,7,7,1,0
611,No,25 - 34,29,R&D,Bachelor's Degree,Technical Degree,Male,Manufacturing Director,Divorced,Travel_Rarely,No,2,232,19,4,34,3,2,4,4262,22645,4,12,3,2,2,8,4,3,2,1,2
612,No,25 - 34,33,R&D,Doctoral Degree,Medical,Female,Research Director,Divorced,Travel_Rarely,No,2,922,1,1,95,4,4,3,16184,22578,4,19,3,3,1,10,3,6,1,0,5
613,No,25 - 34,31,Sales,Bachelor's Degree,Life Sciences,Male,Manager,Divorced,Travel_Rarely,No,3,688,7,3,44,2,3,4,11557,25291,9,21,4,3,1,10,2,5,4,0,1
614,Yes,Under 25,18,Sales,Bachelor's Degree,Marketing,Male,Sales Representative,Single,Travel_Frequently,Yes,3,1306,5,2,69,3,1,2,1878,8059,1,14,3,4,0,0,3,0,0,0,0
615,No,35 - 44,40,Sales,Bachelor's Degree,Other,Male,Sales Executive,Divorced,Non-Travel,No,2,1094,28,3,58,1,3,1,10932,11373,3,15,3,3,1,20,3,1,0,0,1
616,No,35 - 44,41,R&D,Master's Degree,Other,Female,Healthcare Representative,Single,Non-Travel,Yes,3,509,2,1,62,2,2,3,6811,2112,2,17,3,1,0,10,3,8,7,0,7
618,No,25 - 34,26,Sales,Associates Degree,Medical,Male,Sales Executive,Divorced,Travel_Rarely,No,5,775,29,1,45,3,2,3,4306,4267,5,12,3,1,2,8,3,0,0,0,0
620,No,35 - 44,35,Sales,Bachelor's Degree,Medical,Female,Sales Executive,Single,Travel_Rarely,No,3,195,1,1,80,3,2,3,4859,6698,1,16,3,4,0,5,3,5,4,0,3
621,No,25 - 34,34,Sales,Master's Degree,Life Sciences,Male,Sales Executive,Single,Travel_Rarely,No,3,258,21,4,74,4,2,4,5337,19921,1,12,3,4,0,10,3,10,7,5,7
622,Yes,25 - 34,26,R&D,Bachelor's Degree,Technical Degree,Male,Laboratory Technician,Single,Travel_Rarely,Yes,3,471,24,3,66,1,1,4,2340,23213,1,18,3,2,0,1,1,1,0,0,0
623,No,35 - 44,37,R&D,Bachelor's Degree,Technical Degree,Female,Manufacturing Director,Single,Travel_Rarely,No,3,799,1,2,59,3,3,4,7491,23848,4,17,3,4,0,12,4,6,5,1,2
624,No,45 - 54,46,R&D,High School,Medical,Female,Healthcare Representative,Married,Travel_Frequently,No,3,1034,18,1,86,3,3,3,10527,8984,5,11,3,4,0,28,2,2,2,1,2
625,No,35 - 44,41,Sales,Doctoral Degree,Life Sciences,Female,Manager,Married,Travel_Rarely,No,2,1276,2,2,91,3,4,1,16595,5626,7,16,3,2,1,22,3,18,16,11,8
626,No,35 - 44,37,Sales,Master's Degree,Medical,Male,Sales Executive,Divorced,Non-Travel,No,6,142,9,1,69,3,3,2,8834,24666,1,13,3,4,1,9,3,9,5,7,7
630,No,45 - 54,52,R&D,Associates Degree,Technical Degree,Male,Research Scientist,Divorced,Travel_Rarely,Yes,3,956,6,4,78,3,2,1,5577,22087,3,12,3,2,2,18,3,10,9,6,9
631,Yes,25 - 34,32,Sales,Master's Degree,Other,Male,Sales Executive,Married,Non-Travel,No,2,1474,11,4,60,4,2,3,4707,23914,8,12,3,4,0,6,3,4,2,1,2
632,No,Under 25,24,Sales,Bachelor's Degree,Medical,Male,Sales Representative,Married,Travel_Frequently,No,3,535,24,4,38,3,1,4,2400,5530,0,13,3,3,2,3,3,2,2,2,1
634,No,35 - 44,38,R&D,Bachelor's Degree,Medical,Female,Healthcare Representative,Married,Travel_Rarely,No,4,1495,10,3,76,3,2,3,9824,22174,3,19,3,3,1,18,3,1,0,0,0
635,No,35 - 44,37,R&D,Master's Degree,Life Sciences,Female,Manufacturing Director,Married,Travel_Rarely,No,2,446,1,2,65,3,2,2,6447,15701,6,12,3,2,1,8,2,6,5,4,3
638,No,45 - 54,49,R&D,Master's Degree,Life Sciences,Male,Research Director,Divorced,Travel_Rarely,Yes,5,1245,18,4,58,2,5,3,19502,2125,1,17,3,3,1,31,3,31,9,0,9
639,No,Under 25,24,R&D,Bachelor's Degree,Medical,Male,Research Scientist,Married,Travel_Rarely,Yes,3,691,23,2,89,4,1,4,2725,21630,1,11,3,2,2,6,3,6,5,1,4
641,No,25 - 34,26,Sales,Associates Degree,Marketing,Male,Sales Executive,Married,Travel_Rarely,No,5,703,28,1,66,3,2,2,6272,7428,1,20,4,4,2,6,4,5,3,1,4
643,No,Under 25,24,R&D,Associates Degree,Other,Male,Laboratory Technician,Married,Travel_Rarely,No,2,823,17,4,94,2,1,2,2127,9100,1,21,4,4,1,1,3,1,0,0,0
644,No,45 - 54,50,HR,Bachelor's Degree,Medical,Male,Manager,Married,Travel_Frequently,No,2,1246,3,1,99,3,5,2,18200,7999,1,11,3,3,1,32,3,32,5,10,7
645,No,25 - 34,25,Sales,High School,Medical,Male,Sales Representative,Married,Travel_Rarely,No,1,622,13,2,40,3,1,3,2096,26376,1,11,3,3,0,7,3,7,4,0,6
647,Yes,Under 25,24,R&D,Bachelor's Degree,Life Sciences,Female,Laboratory Technician,Married,Travel_Frequently,Yes,4,1287,7,1,55,3,1,3,2886,14168,1,16,3,4,1,6,3,6,3,1,2
648,Yes,25 - 34,30,Sales,Master's Degree,Life Sciences,Male,Sales Representative,Married,Travel_Frequently,No,2,448,12,2,74,2,1,1,2033,14470,1,18,3,3,1,1,4,1,0,0,0
649,No,25 - 34,34,R&D,Associates Degree,Life Sciences,Male,Research Scientist,Married,Travel_Rarely,Yes,3,254,1,2,83,2,1,4,3622,22794,1,13,3,4,1,6,3,6,5,1,3
650,Yes,25 - 34,31,Sales,Master's Degree,Medical,Male,Sales Executive,Divorced,Travel_Rarely,No,2,1365,13,2,46,3,2,1,4233,11512,2,17,3,3,0,9,1,3,1,1,2
652,No,35 - 44,35,R&D,Associates Degree,Other,Male,Laboratory Technician,Single,Travel_Rarely,No,3,538,25,1,54,2,2,4,3681,14004,4,14,3,4,0,9,3,3,2,0,2
653,No,25 - 34,31,Sales,Master's Degree,Medical,Male,Sales Executive,Divorced,Travel_Rarely,No,4,525,6,1,66,4,2,4,5460,6219,4,22,4,4,2,13,4,7,7,5,7
655,No,25 - 34,27,R&D,Master's Degree,Medical,Female,Research Scientist,Divorced,Travel_Rarely,No,5,798,6,1,66,2,1,3,2187,5013,0,12,3,3,2,6,2,5,3,0,3
656,No,35 - 44,37,Sales,Bachelor's Degree,Marketing,Male,Sales Executive,Married,Travel_Rarely,Yes,3,558,2,4,75,3,2,3,9602,3010,4,11,3,3,1,17,2,3,0,1,0
657,No,Under 25,20,R&D,Bachelor's Degree,Life Sciences,Female,Research Scientist,Single,Travel_Rarely,No,0,959,1,4,83,2,1,2,2836,11757,1,13,3,4,0,1,4,1,0,0,0
